id,region,rawId,company_code,vin,fault_desc,repair_mileage,repair_date,cost_list_code,settle_date,company_name,projects,parts,createdate,receive_time,unique_id,country,year,brand,model,imported,price,fuel_form,transmission,displacement,engine,valid,car_id_judge
187195185,31,118674398,3.10113E+14,LWVCAE739GA054059,更换右前轮ABS传感器,261,1564934400,BO2005310018,20200531,上海东昌,"[{""name"": ""更换右前ABS传感器"", ""hours"": ""3.00""}]","[{""qty"": ""1.00"", ""code"": ""59122352"", ""name"": ""节流阀清洁剂""}, {""qty"": ""1.00"", ""code"": ""YH001"", ""name"": ""空调系统保养套装""}, {""qty"": ""1.00"", ""code"": ""68141887AD"", ""name"": ""速度传感器""}, {""qty"": ""2.50"", ""code"": ""AWWSFDY"", ""name"": ""无水防冻液""}]",2020/6/1 10:06,2020/6/1 10:06,310113002219000BO2005310018,中国,2016,广汽菲亚特,自由光,国产,214800,汽油,手自一体变速器,1995,2.0L,TRUE,LWVCAE739GA054059沪B397G8上海东昌
187195187,31,118674403,3.10113E+14,LWVCAE739GA088924,保养,293,1568822400,BO2005310037,20200531,上海东昌,"[{""name"": ""5千公里保养"", ""hours"": ""4.00""}, {""name"": ""更换空气滤"", ""hours"": ""1.00""}]","[{""qty"": ""5.00"", ""code"": ""59122585"", ""name"": ""0W-20全合成机油(1L)""}, {""qty"": ""1.00"", ""code"": ""50052012"", ""name"": ""机油滤清器""}, {""qty"": ""1.00"", ""code"": ""53387142"", ""name"": ""空气滤芯""}, {""qty"": ""1.00"", ""code"": ""59122352"", ""name"": ""节流阀清洁剂""}]",2020/6/1 10:06,2020/6/1 10:06,310113002219000BO2005310037,中国,2016,广汽菲亚特,自由光,国产,214800,汽油,手自一体变速器,1995,2.0L,TRUE,LWVCAE739GA088924沪JA1528上海东昌
187195188,31,118674400,3.10113E+14,LWVCAF766GA111334,保养,339,1566316800,BO2005310019,20200531,上海东昌,"[{""name"": ""基本保养买三送一（3 4），剩余1次"", ""hours"": ""0.00""}]","[{""qty"": ""6.00"", ""code"": ""59122697"", ""name"": ""0W-30全合成机油 1L""}, {""qty"": ""1.00"", ""code"": ""50052012"", ""name"": ""机油滤清器""}]",2020/6/1 10:06,2020/6/1 10:06,310113002219000BO2005310019,中国,2016,广汽菲亚特,自由光,国产,232800,汽油,手自一体变速器,2360,2.4L,TRUE,LWVCAF766GA111334沪BWZ001上海东昌
187195413,31,118674531,3.10113E+14,LWVCAE73XGA055074,保养,451,1568822400,BO2005310039,20200531,上海东昌,"[{""name"": ""5千公里保养"", ""hours"": ""4.00""}, {""name"": ""更换电瓶"", ""hours"": ""1.00""}]","[{""qty"": ""5.00"", ""code"": ""59122585"", ""name"": ""0W-20全合成机油(1L)""}, {""qty"": ""1.00"", ""code"": ""50052012"", ""name"": ""机油滤清器""}, {""qty"": ""1.00"", ""code"": ""BC0H7750AA"", ""name"": ""LX11年后车款用电池""}, {""qty"": ""1.00"", ""code"": ""59122322"", ""name"": ""全新JEEP自由光 油底壳护板""}]",2020/6/1 10:07,2020/6/1 10:07,310113002219000BO2005310039,中国,2016,广汽菲亚特,自由光,国产,214800,汽油,手自一体变速器,1995,2.0L,TRUE,LWVCAE73XGA055074皖SX6931上海东昌
187195415,31,118674537,3.10113E+14,LWVCAFM8XGA046087,保养,166,1566403200,BO2005310050,20200531,上海东昌,"[{""name"": ""保养买二送一，最后一次"", ""hours"": ""0.00""}, {""name"": ""更换两前轮ABS传感器"", ""hours"": ""6.00""}]","[{""qty"": ""1.00"", ""code"": ""50052012"", ""name"": ""机油滤清器""}, {""qty"": ""6.00"", ""code"": ""LK500499AA"", ""name"": ""OIL 5W20""}, {""qty"": ""6.00"", ""code"": ""YH31001"", ""name"": ""润滑套装""}, {""qty"": ""2.00"", ""code"": ""68141887AD"", ""name"": ""速度传感器""}]",2020/6/1 10:07,2020/6/1 10:07,310113002219000BO2005310050,中国,2016,广汽菲亚特,自由光,国产,275800,汽油,手自一体变速器,2360,2.4L,TRUE,LWVCAFM8XGA046087沪FB3673上海东昌
187195430,31,118674544,3.10113E+14,LWVCAE733GA052890,更换变速箱油 制动液 防冻液,371,1568995200,BO2005310055,20200531,上海东昌,"[{""name"": ""更换制动液（微信预约）"", ""hours"": ""3.20""}]","[{""qty"": ""1.00"", ""code"": ""68218925GA"", ""name"": ""变速箱油（延长2年或5万公里，先到为准）""}, {""qty"": ""2.00"", ""code"": ""LC318080AC"", ""name"": ""FLUID BRAKE""}, {""qty"": ""2.50"", ""code"": ""AWWSFDY"", ""name"": ""爱温无水防冻液""}]",2020/6/1 10:07,2020/6/1 10:07,310113002219000BO2005310055,中国,2016,广汽菲亚特,自由光,国产,214800,汽油,手自一体变速器,1995,2.0L,TRUE,LWVCAE733GA052890沪A27A04上海东昌
187195454,31,118676194,3.10113E+14,LWVCAFM54GA108816,保养,827,1569427200,BO2005310074,20200531,上海东昌,"[{""name"": ""5千公里保养"", ""hours"": ""4.00""}]","[{""qty"": ""6.00"", ""code"": ""59122580"", ""name"": ""5W - 40 全合成机油 (1L)""}, {""qty"": ""1.00"", ""code"": ""50052012"", ""name"": ""机油滤清器""}]",2020/6/1 10:07,2020/6/1 10:07,310113002219000BO2005310074,中国,2016,广汽菲亚特,自由光,国产,249800,汽油,手自一体变速器,2360,2.4L,TRUE,LWVCAFM54GA108816豫N87K60上海东昌
187195464,31,118676190,3.10113E+14,LWVCAFM65GA114441,保养,363,1569081600,BO2005310070,20200531,上海东昌,"[{""name"": ""买三送二"", ""hours"": ""24.73""}, {""name"": ""更换刹车油"", ""hours"": ""3.20""}]","[{""qty"": ""6.00"", ""code"": ""59122585"", ""name"": ""0W-20全合成机油(1L)""}, {""qty"": ""1.00"", ""code"": ""50052012"", ""name"": ""机油滤清器""}, {""qty"": ""2.50"", ""code"": ""AWWSFDY"", ""name"": ""爱温无水防冻液（终身免维护）""}, {""qty"": ""2.00"", ""code"": ""LC318080AC"", ""name"": ""FLUID BRAKE""}]",2020/6/1 10:07,2020/6/1 10:07,310113002219000BO2005310070,中国,2016,广汽菲亚特,自由光,国产,279133.3333,汽油,手自一体变速器,2360,2.4L,TRUE,LWVCAFM65GA114441沪MS0570上海东昌
187195466,31,118676188,3.10113E+14,LWVCAF761GA100483,保养,756,1570032000,BO2005310068,20200531,上海东昌,"[{""name"": ""保养买二送一套餐（1 3）"", ""hours"": ""8.00""}, {""name"": ""更换右前叶内衬"", ""hours"": ""1.00""}]","[{""qty"": ""1.00"", ""code"": ""53350438"", ""name"": ""挡泥板（右前）""}, {""qty"": ""12.00"", ""code"": ""JY30220"", ""name"": ""磁护5W-40 1升""}, {""qty"": ""2.00"", ""code"": ""50052012"", ""name"": ""机油滤清器""}]",2020/6/1 10:07,2020/6/1 10:07,310113002219000BO2005310068,中国,2016,广汽菲亚特,自由光,国产,232800,汽油,手自一体变速器,2360,2.4L,TRUE,LWVCAF761GA100483沪FS2110上海东昌
187195489,31,118676208,3.10113E+14,LWVCAF765HA133729,保养,440,1564761600,BO2005310082,20200531,上海东昌,"[{""name"": ""5千公里保养"", ""hours"": ""4.00""}, {""name"": ""更换空气滤"", ""hours"": ""1.00""}]","[{""qty"": ""1.00"", ""code"": ""YH31001"", ""name"": ""润滑套装""}, {""qty"": ""1.00"", ""code"": ""50052012"", ""name"": ""机油滤清器""}, {""qty"": ""1.00"", ""code"": ""59122352"", ""name"": ""节流阀清洁剂""}, {""qty"": ""1.00"", ""code"": ""53387142"", ""name"": ""空气滤芯""}, {""qty"": ""6.00"", ""code"": ""LK500497AA"", ""name"": ""OIL 5W30""}]",2020/6/1 10:08,2020/6/1 10:08,310113002219000BO2005310082,中国,2017,广汽菲亚特,自由光,国产,232800,汽油,手自一体变速器,2360,2.4L,TRUE,LWVCAF765HA133729沪MB2768上海东昌
