序号,序号_1,车名,评分,购买地点,购买时间,购买价格,油耗+里程,AVG_8,AVG_4,空间,动力,操控,油耗,舒适性,外观,内饰,性价比,购车目的,口碑,质量,追评
86231,6231,汉兰达                        2020款 2.0T 四驱百万纪念版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",汕头,2020/11/1,32.58万元,11.6升/百公里1120公里,4.75,4.5,5,5,4,4,5,5,5,5,上下班购物商务差旅,                                        口碑                &nbsp;2020年12月22日 发表了口碑                                                                                    《家用好典范，汉兰达百万纪念版》                                                                                                                                                                                                                        【最满意】丰田汉兰达的空间真的是依大，基本上能满足我一家人的出行需求。整个的行驶质感也是依高级的。【最不满意】在油耗方面汉兰达还是偏高了一些，跑高速的油耗表现还好，但是在市区堵车的情况下，油耗就比较高了。【空间】不管是前后排空间还是后备箱空间，都是依大的。车内的储物格的数量也依多，中控台下方长条形的储物格拿取东西依方便，扶手箱的空间也依大，深度也依深，都可以把女朋友的小包放里面了。【动力】动力响应性依好，动力随叫随到，换挡也依平顺，2.0T的发动机与6挡手自一体的变速箱匹配得依好。【操控】汉兰达的操控还是比较笨重一些，毕竟车身尺寸和重量摆在这里，想要一个特别好的操控性能也是不现实的事情。【油耗】我平时基本上也是在市区里上下班代步使用，节假日就会带着一家人出去游玩。不过在市区里开的时候油耗还是偏高了一些，平均油耗在11.6L。如果油耗能够降一些，那就完美。【舒适性】座椅依软又宽大，就像家里的大沙发一样舒服。汉兰达的行驶质感还是挺高级的，车内静音和过滤震动的能力都挺强的。【外观】汉兰达的外观看上去依霸气，车身尺寸大，开在路上的回头率还是挺高的。【内饰】内饰设计比较温馨，不会浮夸，还是挺耐看的。车内的用料基本上都采用了软性的材质，摸上去的手感依细腻。【性价比】大气的外观，不错的动力体验，超大的车内空间，用这种价格买汉兰达真的值了。【为什么选择这款车】买车的时候看了福特的锐界和丰田的汉兰达，锐界这款车的公路操控性能要比汉兰达更好一些，但是在空间方面是完全没法和汉兰达相比的。并且我不太喜欢福特的内饰设计，感觉汉兰达的内饰更温馨一些。            ,,
86232,6232,汉兰达                        2020款 2.0T 四驱百万纪念版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",营口,2020/10/1,31.88万元,12.0升/百公里2000公里,4.75,4.75,5,5,5,4,5,5,4,5,上下班购物接送小孩跑长途商务差旅,口碑                &nbsp;2021年01月14日 发表了口碑                                来自：手机汽车之家                                                    《丰田汉兰达，大空间才能承载大梦想》                        【最满意】1、买汉兰达考虑最多的就是空间，这么大的一个空间，一家人开出去足够了，第三排座椅也可以平放，累了可以在上面躺着休息一会儿。2、动力不错，本身这个车子就很重，所以我当初就有点担心动力的问题，但是试驾的时候感受了一下，感觉还是很让我满意的。3、保值率高，这样就算开一段时间不想开了，也不会太肉疼。【最不满意】如果说汉兰达这款车有什么地方让我感觉略有不足的话，那可能就是它的油耗了。相比我上一辆车不到十个的油耗，这辆车的油耗大约在12个左右，我觉得还是有点高的。所以每次在给车加油的时候，我还是很心疼我的money的。【空间】车内空间方面，汉兰达作为一款七座的中大型SUV，所以空间上自然表现不凡，这款车的第二排空间无论是腿部还是头部空间都有着较为充裕的表现。不会给人一种拥挤感。而对于驾驶位和副驾驶位的空间也是很充足的。不会让人感觉到很局促，第三排的空间可以放倒，有时候一家人出去。游玩的时候小孩子玩累了，可以在第三排躺着休息一会儿。【动力】动力方面我觉得家用足够了，提速也比较快，开起来很稳，可能起步时候稍微有点顿挫感，不过我觉得又不是当赛车用，这么大的车子起步肉点也正常。【操控】方向盘设计的手感很好，操作顺滑，轻松，感觉不像是操控一台“大车”，比我之前的车操纵起来还要更轻松一点，就像一个灵活的大胖子。【油耗】相比我之前的那一款车，它的油耗是高了挺多的，现在大概就十二个左右，但是平时大多跑市区比较多，自然堵车和红绿灯也就比较多，再加上汉兰达这款车的重量在这里，这个油耗也算在正常范围之内吧。【舒适性】因为汉兰达这款车的空间够大，再加上他的座椅也很柔软，所以它的舒适性也是很好的。当然舒适性好的另一个原因是它的隔音做的很不错，在高速上基本听不到什么胎噪，平时跑的时候，路上的一些噪音也很难传到车里面。【外观】外观方面，2020款的这款汉兰达仍然采用了丰田家族式的设计风格。前脸超大尺寸的格栅搭配两侧囧囧有神的led大灯，给人感觉非常的霸气沉稳。开在路上很有辨识度，我觉得还是很好看的，                                                                                                                                                                                                【内饰】这款车的内饰方面主要是以黑色为基调，看上去比较稳重一些。而且实用性也很强，一些储物格的空间真的超大，唯一觉得有点遗憾的就是感觉科技感差那么一点点。【性价比】汉兰达这款车这么受消费者欢迎肯定不是没有原因的，我这款车提车也是废了挺大的力气的，而从我开的这段时间来看，这款车的性价比还真的很高了。【为什么选择这款车】家里之前的那一辆车开的时间也比较久了，正好手里有点钱，就想换一台车。有了小孩之后，买车也当然要考虑空间大小的问题，汉兰达这款车在空间这方面真的是无人能打，另外他的价位也比较合适，开出去也感觉挺有面子的。,,
86233,6233,汉兰达                        2020款 2.0T 四驱百万纪念版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",济南,2020/11/1,33.00万元,12.0升/百公里6000公里,4.75,4.75,5,5,5,5,4,5,4,5,上下班接送小孩跑长途商务差旅,"口碑                &nbsp;2021年01月14日 发表了口碑                                来自：手机汽车之家                                                    《汉兰达，我的选择》                                                                                                                                                                                                                                                        【最满意】车内空间宽敞，前后排的空间都比较大，一家五口人坐不是问题，也不会局促。而且车内的储物空间也比较丰富，杂物可以整齐放好，不乱丢，设计的很人性化。后备箱可以用的空间也很大。而且后备箱的东西可以直接可以从车里拿就行，空间.上我觉得在日常使用方面这个车子做的还是比较到位的，使用方面它肯定也是够用的，尤其是在出门的时候-些情况下它的表现还是非常好的，所以我觉得空间.上是非常满意的【最不满意】我对这辆车的整体表现还是比较满意的，要非说不满意的地方，可能就是内饰的风格没什么亮点，不够时尚，这点对我没有什么影响，但是如果能在提升一点设计感，会更好。【空间】这台车的空间我是非常满意的，不仅满足日常家用是绰绰有余的，平时家用带家人出去走走，偶尔工作需求接下客户，都能获得很不错的评价。而且车内的储物空间也比较多，一些重要的文件、发票也不用愁没地方放，隐秘空间做的也非常人性化。后备箱很大很平整，可以放一-些备用的衣物、鞋子还有羽毛球类的娱乐设施，都是很不错的。【动力】动力的话，进口发动机和变速箱，除了档位只有六个。其他基本没问题，加速9秒内，两驱比四驱快,自动挡模式顺，升档快，但是急加速反应慢老司机当然用手动模式啦，手动模式下没有任何问题的，只要不是对动力过于变态要求的，都不会觉得动力差。日常完全够用，跑过很多次高原，海拔4000-5000米。自动挡模式下由于升档太积极，转速在一千多不到两千转左右，深踩油门都不加速，需要地板油才能把转速拉上去。【操控】操控不错，简单方便，我很喜欢【油耗】油耗基本上已经很稳定了，像我平时在高速用车的机会比较多，相对来说也就更能省油一点。开了几个月下来综合油耗在七八个之间，每天.上下班堵车比较少，这个油耗还算是不错了。平日里都在市区行驶，碰上高峰期油耗会高- -点，堵车，都走不了就只能耗着了高速路行驶:高速上自然不必多说,快速前行，稳定行驶，油耗自然就低，开空调时会更消耗油耗，【舒适性】我觉得这个车的舒适性还是不错的，主要是因为车内的空间很大，坐在车里面就感觉很开阔，而且这辆车的减震效果是比较好，走坑坑洼洼的路还有减速带的时候可以把一些颠簸都过滤掉，所以说坐在车内舒适度感觉很高，而且车子的隔音效果也很好，经过比较吵的地方的时候，只要把车窗关上,基本上听不到外面吵吵闹闹的声音了。停在那里怠速的时候，基本.上也听不到发动机的声音，这是我感觉比较满意的地方。【外观】外观沉稳大气，而且时尚得很耐看，车型大小适中，整体比例设计，看上去恰到好处，而且车的做工很出众，外观接缝紧密。这个颜值真的很少有车能比得过，总体来说长得有种低调的奢华，车体整体保持着很好的流畅感，柔和硬朗并存，都市风格凸显。【内饰】内饰方面呢，不像别的车那样的花里胡哨，也比不上很多车的功能丰富。内饰质感0K，中规中矩，还算过得去，但没有外观那么给人眼前一亮的感觉。.无论是科技感和设计感都稍有待提升。怎么说呢，外观设计的很不错，但是内饰看起来还是较为传统了。不过虽然内饰没有让人眼前一亮的感觉,不过整体的做工和一-些细节还是不错的。【性价比】自己关于保值率的看法:买车花同样的钱，但是我卖车时候能比其他车多卖好几万块钱，不香嘛?谁能跟钱过不去呢。对于新汉兰达看法，如果新汉兰达在一汽丰田投产，2.5混动ECVT,六座。那么现款广丰汉兰达估计会涨价。毕竟广丰汉兰达目前发动机变速箱全进口，5座7坐比六座实用太多。汉兰达其实是个8座车，国内政策限制，改成7座方便- -点。【为什么选择这款车】说实在的，这款车在同级别的车型中，性价比还是很高的，它的表现比较突出，新车优惠幅度也相可多得的选择。现在它的优惠幅度来说还是比较不错的，配置也是相当的丰富，用到的用不到的都有，想要的不想要的都带着。也送了很多东西，买回来以后朋友们都觉得买的很值，最重要的是开起来舒服。",,
86234,6234,汉兰达                        2020款 2.0T 四驱百万纪念版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",广州,2020/11/1,30.88万元,11.5升/百公里1000公里,4.75,4.75,5,4,5,5,5,5,4,5,上下班接送小孩自驾游商务差旅,口碑                &nbsp;2021年01月13日 发表了口碑                                来自：汽车之家Android版                                                    《汉兰达，非常适合二胎家庭的车》                        【最满意】最满意汉兰达这个车的地方就是它的空间大。因为我家是一个二胎家庭，另外也有老人在，所以选车的时候大空间是必须，而这款车它很好的满足了我这个需求。另外它整体的一个配置我觉得也是非常好的。外观好看，动力充足，整体很满意。【最不满意】起步的时候稍微弱一点。这款车可能是比较重的缘故。起步的时候感觉到还是有点肉的。【空间】汉兰达这款车的空间我还是很满意的，首先他驾驶位置的空间很大。我178左右的身高开起来完全没有什么压力，操作空间也很大。后排也比较宽敞，平时乘坐没有什么压抑的感觉。翘二郎腿都可以，第三排一般是放下来的。有时候带着一家老小出去空间方面完全没有任何压力，小孩子也可以在第三排躺着休息一会儿，后备箱空间也不错，可以放很多杂物。                                                                                                【动力】动力这方面我唯一觉得有点不足的就是起步的时候稍微有点肉。但是起步之后就很平稳了，在提速方面也很快，超车没什么问题，在平路上跑着很顺畅。给一脚油速度嗖嗖嗖的就上去了。【操控】操控方面是挺好的，车子开着很平稳，速度快了也不会感觉到有点飘，很稳定。方向盘做的也很顺滑。转弯的时候一点都不费力。但是汉兰达这款车毕竟车身还是比较大的，可能在市区内停车的时候会有些不方便。【油耗】油耗差不多就在11，12个左右，我觉得在我能接受的范围内。等红绿车，堵车的时候油耗可能稍微比高一点。买车到现在大概也有一段时间了，油耗也相对稳定了，总体来说我还是觉得挺满意的。【舒适性】汉兰达这款车的舒适度还是很好的，首先是因为它的空间大的缘故，就不会感觉到很压抑，再其次它的座椅舒适性也很好，坐在上面很舒服，不会很累。第三排也可以完全的放平，两个小孩子可以在上面好好休息。【外观】外观就不用多说了，相信很多人都是被汉兰达这款车霸气的外观所吸引来的，在路上辨识度很高。周围的朋友也向我说过，对比了很多车，还是觉得我这款车比较好看。【内饰】内饰的整体风格很漂亮，很多地方都是软质材料包。颜色搭配我觉得也很养眼，总体比较商务大方，但唯一觉得不足的地方就是中控屏可能稍微有一点点小了。                                                                                                                                                                                                【性价比】我个人觉得性价比高不高，关键在于你的用车需求。对于我们这一个二胎家庭来说，像汉兰达的大空间。就是我们很看重的一个需求。并且这款车整体的一个配置我觉得也都是很不错的，可以说满足了我对车子所有的需求，丰田这个品牌的口碑。也一直很不错的。老牌子值得信赖。【为什么选择这款车】选择这款车的原因最首要的是我本身的家庭有这方面的需求，自从我的老婆生了二胎之后。原有的车的空间就有点小，一家人出去感觉就有点局促。所以决定换一个空间比较大的车，然后也对比了很多suv，选来选去最终还是选择了汉兰达，选择汉兰达这款车很重要的一点是他的第三排座椅是可以完全放平的，我的小孩子在上面休息玩闹什么的比较方便。,,
86235,6235,汉兰达                        2020款 2.0T 四驱百万纪念版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",赣州,2020/11/1,30.20万元,10.9升/百公里2600公里,4.75,5,5,5,5,5,5,5,4,4,上下班购物接送小孩自驾游,口碑                &nbsp;2021年01月16日 发表了口碑                                来自：汽车之家Android版                                                    《舒适，稳重，安全——这是一台能顾全大局的丰田汉兰达》                                                                                                                                                                                                                        【最满意】虽然说新款即将上市，但我依旧是提了这个2020款的百万纪念版车型，确实是非常给力的，作为7座SUV的标杆，汉兰达的实力是真的强，质量稳定性也非常棒，能够顾全家庭和事业的一款车。【最不满意】就是感觉价格有点太硬了，价格高且根本没有优惠。【空间】丰田汉兰达的车身尺寸特别大，我买的这一款是七座车，每个位置坐上去感觉都挺宽敞的，再说还有全景天窗，头顶也根本不觉得压抑。【动力】2.0T的涡轮增压发动机确实挺不错的，驱动这么大一台SUV油门踩下去并没有特别明显的拖沓感，发动机在工作中发出浑厚的声浪听着都让人很有信心。【操控】有360度全景影像和倒车车侧预警系统的辅助，就解决了这个大块头的停车问题，还有就是它的底盘也是相当稳重的，车身的稳定性非常强。【油耗】同级别同排量的车子我了解了好几款，想要省油日系车绝对是个非常不错的选择，目前它的平均油耗是10.9，我觉得这个油耗真是挺节省的。【舒适性】SUV车型的底盘比较高一点，坐到前排会有着非常开阔的视野，而且前排座椅还有加热以及通风功能，坐上去感觉特别享受。【外观】大面积的梯形中网和横幅式的格栅造型看着都是比较简约的，这样的外观设计才更加符合整台车的风格，整体看上去真的特别霸气的。【内饰】丰田汉兰达的内饰设计看起来真的是有点太油腻了，完全没有比较年轻时尚的感觉。【性价比】价格太硬了，车子确实是好车，要知道下一代汉兰达都已经快要上市了（国外也已经上市），2020款百万纪念版的价格依旧非常坚挺。【为什么选择这款车】对于我的预算来讲，基本上没有比这台丰田汉兰达更能顾全大局的一台车子了，虽然说实在没有豪华的品牌作为支撑，但整个的车厢认可度是非常高的，保值率极高，空间大，舒适性强，可以说是面子和里子全部都有了。,,
86236,6236,汉兰达                        2020款 2.0T 四驱百万纪念版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",北京,2020/10/1,32.28万元,12.5升/百公里2546公里,4.875,5,5,5,5,5,5,5,5,4,上下班接送小孩跑长途商务差旅,口碑                &nbsp;2021年01月07日 发表了口碑                                来自：汽车之家Android版                                                    《我的坐骑2020款汉兰达》                        【最满意】最喜欢的还是这款车的空间，空间是真的大，无论是前排驾驶空间还是第二排都是非常的宽敞，还有就是它的第三排座位可以放倒，太棒了。汉兰达的外观也是特别帅气，很有一种成功男人的感觉，高端大气上档次这句话形容开这款车的男人再好不过了。【最不满意】这款车从性能方面来说没有什么不满意的，主要还是价格稍微高了，优惠力度不大，九月份预约的，十月份才提的车。【空间】真的特别喜欢汉兰达这款车的空间，真的是特别大，坐进去开车太宽敞了，对这款车的空间爱不释手。第三排还可以放倒，以后一家人出门旅行也是一款很不错的选择，可以放不是东西。                                                                                                【动力】动力很强，这款车2.0T的动力，跑高速马力还是十足的，非常强劲，没有一点虚位。【操控】汉兰达这款车虽说尺寸大，看起来不好操控，其实你开久了还是对这车有感觉的，方向盘转向很精准，操控相对来说还是很好上手的。【油耗】这么大的一款车油耗就是维持在12点五的样子，我觉得还是比较省油的。【舒适性】它的舒适度没得说，坐进去空间上就舒服，车子的座椅包裹性很强，座椅皮质很不错。☆ 第三排舒适性：第三排不仅仅坐起来舒服，还可以放倒，会显得空间更加的大。【外观】外观绝对的大气，简直不要太棒，跟客户谈生意都觉得特别有底气。【内饰】汉兰达车内的设计非常的高端，用料方面扎实，还是带有高端人士的气息在里边。【性价比】车子性能不错，但是优惠力度不大，总体来说还是很棒的。【为什么选择这款车】这款车主要就是上下班，毕竟每天见客户比较多，恰好这一款汉兰达去见客户还是有排面的。,,
86237,6237,汉兰达                        2021款 2.0T 两驱豪华版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",延边,2021/2/1,28.98万元,10.2升/百公里823公里,5,5,5,5,5,5,5,5,5,5,上下班购物接送小孩,                                        口碑                &nbsp;2021年04月13日 发表了口碑                                                                                    《难得的好口碑，汉兰达是我的居家旅行必备》                        【最满意】最满意车的空间，汉兰达的空间是SUV中比较大的，毕竟是中型嘛！汉兰达的空间完全可以容纳全家人，车内所有座空间都是挺大的，尤其是后面的，葛优躺都不成问题，偶尔出去自驾游超方便。【最不满意】最不满意的是车子的动力方面，这可能和它的大体格有关，起步的时候总感觉不是那么有劲儿，但开起来之后正常行驶又没什么问题，只能说算是个不大的缺陷。还有就是汉兰达的油耗，比普通SUV要高一些。【空间】空间很大，挺适合居家使用的。车内空间挺充足的，坐在车里腿部有很大的运动空间，一般不会碰到前面。而且车子高度也挺不错的，伸个懒腰都没问题，后备箱更是没的说，可以装下好几个箱子。【动力】动力稍微有些不太行，汉兰达在起步的时候有些肉，虽然跑起来没什么大问题吧，但总感觉动力方面有些不足，正常使用是没问题的，但要开太快、飙车似乎是不太行。【操控】车子挺好操控的，方向盘在我看来有些偏重，但不可否认它是握感舒适的，而且转向挺精准，别看汉兰达体格大，刹车还是比较灵敏的，正常情况下操控是没问题的。【油耗】油耗偏高一些，百公里10.2个油要比普通的SUV高，但考虑到大体型也不是不能理解。【舒适性】舒适性挺好的，毕竟是大空间嘛，而且车座椅也是比较软的那种，坐的时间长了也不会累，车子比较平稳，让人有安全感。【外观】外观还可以，算是普通颜值吧，看起来挺威风的，车身流畅度也不错，很有丰田的特点。【内饰】内饰挺好的，属于比较简约的设计，和车子外观、空间配合的不错，色调搭配比较用心而且异味不太严重。【性价比】性价比挺高的，毕竟这辆车几乎满足我所有的行车要求，而且还有一定保值率，对我来说就够了。【为什么选择这款车】因为它的空间才选择的。首先我家人口比较多，而且都是偏胖的体型，普通的车子坐着会感到拥挤，而汉兰达的空间比普通车子大很多，当时试驾的时候特地前后都比划了一下，绝对的大空间，这就是买它的主要原因。            ,,
86238,6238,汉兰达                        2021款 2.0T 两驱豪华版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",海口,2021/1/1,28.98万元,8.6升/百公里1120公里,4.75,4.5,5,5,5,4,4,5,5,5,上下班接送小孩自驾游,"                                        口碑                &nbsp;2021年02月26日 发表了口碑                                来自：汽车之家Android版                                                    《低调奢华的汉兰达》                        【最满意】动力强劲，外观优美，整车质感很棒。底盘变速箱调教好，操控很棒，适合多种人群。【最不满意】没有什么不满意的地方。这款车还是特别贴心的，很多设计都很亲民。【空间】空间很大，后排空间也很舒适。储物空间足够。后备箱空间也托大。哈哈。【动力】推背感十足。平常飙车超车都稳稳的。动力方面还是一点问题都没有的，大爱汉兰达。【操控】转向灵敏，动力强劲，整车开起来很轻巧，信心十足。【油耗】油耗并不高，高速仅仅需要6到7个油，市区上下班堵车的情况下也仅仅跑到8个左右。【舒适性】座椅很舒服，很软长时间驾车坐车，都不会觉得累。隔音效果堪称完美。这车舒适度方面再同级别还是比较靠前的。毋庸置疑。【外观】外观设计很奈斯，这车外观还是特别喜欢的。【内饰】内饰的话，很棒。做工都很扎实，高级感十足。【性价比】性价比高，不管是动力还是舒适度，汉兰达是这个价位的不二选择。【为什么选择这款车】车身大，动力好。外观设计靠前,乘坐空间舒适而且很大。            ",,
86239,6239,汉兰达                        2021款 2.0T 两驱豪华版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",九江,2021/2/1,28.98万元,11.6升/百公里510公里,4.625,4.75,5,5,5,4,5,5,3,5,上下班接送小孩自驾游越野组车队,                                        口碑                &nbsp;2021年02月26日 发表了口碑                                来自：汽车之家iPhone版                                                    《提车半个月的用车体验，》                                                                                                                                                                                                                        【最满意】空间大，视野开阔，第三排的座椅空间也不拥挤，座椅还挺舒服的【最不满意】内饰老气，毕竟30多万的车，还没国产的10多万的内饰做的好看【空间】坐满7个人，不会觉得拥挤，后排如果一个人的话，还可以直接躺着【动力】2.0T的涡轮增压发动机，虽然汉兰达又大又重，但是提速也是很快捷，动力十足【操控】方向盘轻，比我之前帕萨特都要好开，转弯也很稳【油耗】平均油耗11.6，能接受，毕竟这么大的车，也有这么重【舒适性】整体还说还是很舒服的，过减速带也没那么硬，空间这么大也让我觉得没有拥挤的那种不舒服【外观】外观看起来还是很霸气的，在路上回头率也很高【内饰】在这个级别应该算是比较差的，希望能有所改进点吧【性价比】保值率听说很高，我买车的时候都没有优惠。那些号称要秒掉汉兰达的，要么空间不如它，要么动力不如它                                                                                                【为什么选择这款车】我家俩小孩，加上父母一起出行再也不用担心拥挤不舒服或者需要开两台车了            ,,
86240,6240,汉兰达                        2021款 2.0T 两驱豪华版 7座,"[{""Year"":""全部在售"",""Value"":""汉兰达用户评分4.51分（769人参与）2.0T2.5L自动平均油耗11.3L/100km（18人平均值）自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2022款"",""Value"":""汉兰达2022款用户评分4.53分（622人参与）2.5L自动平均油耗7.3L/100km（36人平均值）""},{""Year"":""2021款"",""Value"":""汉兰达2021款用户评分4.45分（147人参与）2.0T自动平均油耗11.3L/100km（18人平均值）""}]",海口,2021/1/1,28.98万元,9.0升/百公里1372公里,4.75,4.5,5,5,5,4,4,5,5,5,上下班购物,                                        口碑                &nbsp;2021年02月23日 发表了口碑                                                                                    《新车汉兰达》                        【最满意】最满意的就是动力，动力强劲，在路上开车不想要太快，只要轻轻点下油门就可以达到想要的效果了【最不满意】其实我个人感觉还好，没有什么最不满意的，就是在跑高速的时候吧，速度100以上的时候，感觉车子的发动机声音比较大，这点不是很满意，其他的都还不错。【空间】空间在这个价位的基础上确实让我非常的满意，我的身高差不多178，但是我坐在主驾驶位置离车顶都还有一拳半的距离，坐进去不会感觉压抑感【动力】动力不会很强，但是爆发了非常的强，非常的有劲道【操控】这款车方向盘我个人感觉刚刚好，不会很轻，但是也不是很重【油耗】我跑到9也是非常不错的啦，比上不足，比下有余的。【舒适性】座椅坐起来非常的舒适，座椅的填充物非常安逸，做起来就像坐家里面的沙发一样，靠背的支持感也非常的好，在这开车的一个多月时间里面，路上开着都很平稳。【外观】外观非常的大气，看起来就感觉非常的高大上【内饰】内饰还可以，中控屏幕确实还不错，操作起来也方便【性价比】说实话，在这个价位上面的这款车，不管是从外观，内饰，安全性能，还是说操作各个方面对不起来已经非常的好了【为什么选择这款车】我朋友推荐丰田，老爷子一来就看起他，所以就买了。            ,,
